iter	Passed	Remaining
735	42382	15202
736	42430	15141
737	42484	15082
738	42542	15025
739	42612	14972
740	42685	14919
741	42754	14866
742	42824	14812
743	42881	14754
744	42933	14695
745	42979	14633
746	43024	14572
747	43099	14520
748	43171	14467
749	43229	14409
750	43276	14348
751	43337	14292
752	43380	14229
753	43424	14167
754	43480	14109
755	43537	14051
756	43606	13997
757	43667	13941
758	43743	13889
759	43812	13835
760	43873	13778
761	43926	13719
762	43976	13659
763	44021	13598
764	44075	13539
765	44166	13492
766	44233	13437
767	44278	13375
768	44333	13317
769	44379	13256
770	44432	13197
771	44479	13136
772	44525	13075
773	44564	13012
774	44610	12951
775	44670	12894
776	44719	12834
777	44781	12778
778	44843	12721
779	44884	12659
780	44926	12597
781	44972	12537
782	45021	12477
783	45075	12418
784	45127	12359
785	45221	12312
786	45287	12257
787	45339	12197
788	45393	12139
789	45443	12079
790	45490	12019
791	45537	11959
792	45592	11901
793	45646	11842
794	45718	11789
795	45764	11728
796	45830	11673
797	45903	11619
798	45952	11559
799	46008	11502
800	46055	11442
801	46112	11384
802	46160	11324
803	46229	11269
804	46323	11221
805	46398	11167
806	46466	11112
807	46527	11056
808	46581	10997
809	46632	10938
810	46696	10882
811	46760	10826
812	46818	10768
813	46873	10710
814	46932	10653
815	47005	10599
816	47067	10542
817	47113	10482
818	47175	10425
819	47235	10368
820	47323	10317
821	47382	10260
822	47450	10204
823	47506	10147
824	47563	10089
825	47606	10028
826	47660	9970
827	47723	9913
828	47778	9855
829	47841	9798
830	47906	9742
831	47958	9683
832	48004	9623
833	48056	9565
834	48104	9505
835	48165	9448
836	48215	9389
837	48263	9330
838	48335	9275
839	48413	9221
840	48457	9161
841	48505	9102
842	48558	9043
843	48613	8985
844	48667	8927
845	48718	8868
846	48763	8808
847	48833	8753
848	48899	8697
849	48954	8639
850	49022	8583
851	49087	8526
852	49134	8467
853	49195	8410
854	49239	8350
855	49294	8292
856	49341	8233
857	49441	8182
858	49495	8124
859	49544	8065
860	49597	8006
861	49654	7949
862	49711	7891
863	49758	7832
864	49812	7774
865	49879	7718
866	49939	7660
867	49998	7603
868	50066	7547
869	50118	7488
870	50180	7432
871	50224	7372
872	50280	7314
873	50328	7255
874	50375	7196
875	50468	7143
876	50523	7086
877	50568	7026
878	50623	6968
879	50687	6911
880	50740	6853
881	50794	6795
882	50840	6736
883	50888	6677
884	50944	6619
885	51014	6563
886	51082	6507
887	51139	6450
888	51208	6393
889	51264	6336
890	51322	6278
891	51373	6220
892	51425	6161
893	51496	6105
894	51571	6050
895	51623	5992
896	51683	5934
897	51735	5876
898	51787	5818
899	51849	5761
900	51899	5702
901	51953	5644
902	52017	5587
903	52079	5530
904	52143	5473
905	52207	5416
906	52258	5358
907	52309	5300
908	52362	5242
909	52418	5184
910	52462	5125
911	52542	5069
912	52615	5013
913	52669	4955
914	52727	4898
915	52781	4840
916	52828	4781
917	52883	4723
918	52928	4665
919	52980	4607
920	53044	4549
921	53120	4493
922	53183	4436
923	53256	4380
924	53317	4323
925	53375	4265
926	53425	4207
927	53480	4149
928	53531	4091
929	53609	4035
930	53697	3979
931	53749	3921
932	53814	3864
933	53876	3807
934	53924	3748
935	53970	3690
936	54029	3632
937	54092	3575
938	54150	3517
939	54215	3460
940	54285	3403
941	54353	3346
942	54403	3288
943	54449	3230
944	54495	3171
945	54543	3113
946	54596	3055
947	54698	3000
948	54762	2943
949	54816	2885
950	54868	2827
951	54920	2769
952	54965	2710
953	55014	2652
954	55061	2594
955	55112	2536
956	55169	2478
957	55245	2422
958	55358	2366
959	55440	2310
960	55506	2252
961	55552	2194
962	55598	2136
963	55662	2078
964	55758	2022
965	55817	1964
966	55871	1906
967	55948	1849
968	56003	1791
969	56048	1733
970	56105	1675
971	56167	1617
972	56228	1560
973	56300	1502
974	56357	1445
975	56436	1387
976	56494	1329
977	56540	1271
978	56593	1213
979	56654	1156
980	56712	1098
981	56814	1041
982	56878	983
983	56933	925
984	56980	867
985	57034	809
986	57081	751
987	57132	693
988	57180	635
989	57235	578
990	57296	520
991	57351	462
992	57429	404
993	57488	347
994	57534	289
995	57578	231
996	57638	173
997	57687	115
998	57731	57
999	57810	0
