iter	Recall	CrossEntropy
228	0.4459971198	0.6596600631
229	0.4459971198	0.6596599166
230	0.4459971198	0.6596599166
231	0.4461571284	0.6596256522
232	0.4462104646	0.659622062
233	0.4467971625	0.659596349
234	0.4469038349	0.6595905037
235	0.4468504987	0.6595765523
236	0.4468504987	0.6595753318
237	0.4474371967	0.6595244752
238	0.4473838605	0.6595158083
239	0.4473571924	0.6595101797
240	0.4475972052	0.6595068074
241	0.4477305456	0.6595058545
242	0.4477838818	0.6594857076
243	0.4479438903	0.6594791069
244	0.4480238946	0.6594729264
245	0.4477305456	0.6594661472
246	0.4479972265	0.6594574053
247	0.4481572351	0.6594168652
248	0.4480772308	0.6594167504
249	0.448130567	0.6594110004
250	0.448130567	0.6594110003
251	0.4484772521	0.6594015996
252	0.4483172436	0.6593928354
253	0.4482105712	0.659379675
254	0.4485839245	0.6593713072
255	0.4485839245	0.6593713039
256	0.4485839245	0.6593711479
257	0.4488772735	0.6593210201
258	0.4492772948	0.6592913371
259	0.4494373033	0.6592895232
260	0.4494373033	0.6592892345
261	0.4498106566	0.6592560865
262	0.4498106566	0.6592559968
263	0.4501040055	0.6592397186
264	0.4503173503	0.6592381706
265	0.450237346	0.6592336227
266	0.450237346	0.6592334511
267	0.4505573631	0.6592218518
268	0.4503173503	0.6592120962
269	0.4503173503	0.6592120962
270	0.4502906822	0.6592107066
271	0.450530695	0.6591883332
272	0.4505840311	0.6591739511
273	0.4506106992	0.6591681674
274	0.4506106992	0.6591681674
275	0.4505573631	0.659166863
276	0.4505573631	0.6591663189
277	0.4506106992	0.6591627759
278	0.4506106992	0.6591627758
279	0.4507173716	0.6591307399
280	0.4507173716	0.6591299033
281	0.4507173716	0.6591299032
282	0.450850712	0.6591243939
283	0.4508773801	0.6591238777
284	0.4509573844	0.6591178853
285	0.4509840525	0.6591131864
286	0.4508240439	0.6591075876
287	0.4511173929	0.6590910915
288	0.451730759	0.6590733436
289	0.4517040909	0.6590726594
290	0.4517040909	0.6590712575
291	0.4516240866	0.6590664689
292	0.4518907675	0.6590591864
293	0.4518907675	0.6590591861
294	0.4518640994	0.6590430268
295	0.4518640994	0.6590430035
296	0.4522107846	0.6590068355
297	0.4521574484	0.6590060015
298	0.4521574484	0.6590060014
299	0.4522107846	0.6590018096
300	0.4521307803	0.6589939735
301	0.4523174569	0.6589683686
302	0.4523174569	0.6589657173
303	0.4523174569	0.6589657173
304	0.4524241293	0.6589656038
305	0.452344125	0.6589555571
306	0.452344125	0.6589511621
307	0.4523707931	0.6589506419
308	0.4523707931	0.6589505262
309	0.4523707931	0.6589505261
310	0.4527974825	0.6589200628
311	0.4527974825	0.658906023
